        Time	      Z Scan	  Z Detector	       Force	     Current	
         sec	          µm	          µm	          nN	          nA	
0.0000e+000	 8.0241e-001	 8.2280e+000	 -2.5968e+000	3.0212e-002	 
1.0469e-002	 7.9917e-001	 8.2250e+000	 -2.5968e+000	3.1128e-002	 
2.0938e-002	 7.9606e-001	 8.2220e+000	 -2.5995e+000	3.0823e-002	 
3.1406e-002	 7.9294e-001	 8.2193e+000	 -2.6051e+000	2.9602e-002	 
4.1875e-002	 7.8982e-001	 8.2163e+000	 -2.6079e+000	3.1128e-002	 
5.2344e-002	 7.8671e-001	 8.2134e+000	 -2.6134e+000	2.9907e-002	 
6.2813e-002	 7.8359e-001	 8.2104e+000	 -2.6217e+000	2.9907e-002	 
7.3281e-002	 7.8047e-001	 8.2077e+000	 -2.6217e+000	2.9297e-002	 
8.3750e-002	 7.7736e-001	 8.2047e+000	 -2.6273e+000	3.0212e-002	 
9.4219e-002	 7.7424e-001	 8.2017e+000	 -2.6301e+000	3.0212e-002	 
1.0469e-001	 7.7113e-001	 8.1987e+000	 -2.6328e+000	3.2654e-002	 
1.1516e-001	 7.6801e-001	 8.1957e+000	 -2.6412e+000	3.0518e-002	 
1.2563e-001	 7.6489e-001	 8.1930e+000	 -2.6439e+000	3.1738e-002	 
1.3609e-001	 7.6178e-001	 8.1900e+000	 -2.6495e+000	2.9602e-002	 
1.4656e-001	 7.5864e-001	 8.1870e+000	 -2.6523e+000	2.8687e-002	 
1.5703e-001	 7.5552e-001	 8.1840e+000	 -2.6578e+000	3.0518e-002	 
1.6750e-001	 7.5240e-001	 8.1810e+000	 -2.6661e+000	2.9602e-002	 
1.7797e-001	 7.4929e-001	 8.1780e+000	 -2.6689e+000	3.0823e-002	 
1.8844e-001	 7.4617e-001	 8.1753e+000	 -2.6744e+000	3.0823e-002	 
1.9891e-001	 7.4305e-001	 8.1723e+000	 -2.6772e+000	2.8687e-002	 
2.0938e-001	 7.3994e-001	 8.1693e+000	 -2.6828e+000	2.9602e-002	 
2.1984e-001	 7.3682e-001	 8.1663e+000	 -2.6883e+000	3.0518e-002	 
2.3031e-001	 7.3371e-001	 8.1633e+000	 -2.6939e+000	3.0823e-002	 
2.4078e-001	 7.3059e-001	 8.1603e+000	 -2.6994e+000	2.9602e-002	 
2.5125e-001	 7.2747e-001	 8.1573e+000	 -2.7022e+000	2.9297e-002	 
2.6172e-001	 7.2436e-001	 8.1543e+000	 -2.7050e+000	3.2349e-002	 
2.7219e-001	 7.2124e-001	 8.1513e+000	 -2.7133e+000	2.9907e-002	 
2.8266e-001	 7.1810e-001	 8.1483e+000	 -2.7161e+000	3.0212e-002	 
2.9313e-001	 7.1498e-001	 8.1456e+000	 -2.7216e+000	3.0823e-002	 
3.0359e-001	 7.1187e-001	 8.1426e+000	 -2.7216e+000	3.0212e-002	 
3.1406e-001	 7.0875e-001	 8.1396e+000	 -2.7299e+000	3.0823e-002	 
3.2453e-001	 7.0563e-001	 8.1366e+000	 -2.7327e+000	3.1128e-002	 
3.3500e-001	 7.0252e-001	 8.1336e+000	 -2.7355e+000	3.0823e-002	 
3.4547e-001	 6.9940e-001	 8.1306e+000	 -2.7410e+000	3.1738e-002	 
3.5594e-001	 6.9628e-001	 8.1276e+000	 -2.7410e+000	2.9907e-002	 
3.6641e-001	 6.9317e-001	 8.1246e+000	 -2.7438e+000	2.9602e-002	 
3.7688e-001	 6.9005e-001	 8.1216e+000	 -2.7494e+000	3.1128e-002	 
3.8734e-001	 6.8694e-001	 8.1186e+000	 -2.7494e+000	2.9602e-002	 
3.9781e-001	 6.8382e-001	 8.1156e+000	 -2.7521e+000	3.0212e-002	 
4.0828e-001	 6.8070e-001	 8.1126e+000	 -2.7549e+000	3.0518e-002	 
4.1875e-001	 6.7756e-001	 8.1096e+000	 -2.7577e+000	2.9297e-002	 
4.2922e-001	 6.7445e-001	 8.1066e+000	 -2.7577e+000	3.0823e-002	 
4.3969e-001	 6.7133e-001	 8.1036e+000	 -2.7577e+000	2.9602e-002	 
4.5016e-001	 6.6821e-001	 8.1006e+000	 -2.7605e+000	2.8687e-002	 
4.6063e-001	 6.6510e-001	 8.0976e+000	 -2.7605e+000	3.1433e-002	 
4.7109e-001	 6.6198e-001	 8.0946e+000	 -2.7605e+000	3.1128e-002	 
4.8156e-001	 6.5886e-001	 8.0917e+000	 -2.7605e+000	3.1738e-002	 
4.9203e-001	 6.5575e-001	 8.0887e+000	 -2.7577e+000	3.0823e-002	 
5.0250e-001	 6.5263e-001	 8.0857e+000	 -2.7577e+000	3.1128e-002	 
5.1297e-001	 6.4952e-001	 8.0827e+000	 -2.7577e+000	3.1128e-002	 
5.2344e-001	 6.4640e-001	 8.0794e+000	 -2.7577e+000	3.0212e-002	 
5.3391e-001	 6.4328e-001	 8.0764e+000	 -2.7549e+000	3.0823e-002	 
5.4438e-001	 6.4014e-001	 8.0734e+000	 -2.7549e+000	3.0212e-002	 
5.5484e-001	 6.3703e-001	 8.0704e+000	 -2.7521e+000	3.0518e-002	 
5.6531e-001	 6.3391e-001	 8.0674e+000	 -2.7466e+000	3.1738e-002	 
5.7578e-001	 6.3079e-001	 8.0644e+000	 -2.7438e+000	2.8992e-002	 
5.8625e-001	 6.2768e-001	 8.0614e+000	 -2.7410e+000	2.9297e-002	 
5.9672e-001	 6.2456e-001	 8.0584e+000	 -2.7383e+000	3.1433e-002	 
6.0719e-001	 6.2144e-001	 8.0554e+000	 -2.7355e+000	3.0212e-002	 
6.1766e-001	 6.1833e-001	 8.0521e+000	 -2.7327e+000	3.0212e-002	 
6.2813e-001	 6.1521e-001	 8.0491e+000	 -2.7299e+000	3.1433e-002	 
6.3859e-001	 6.1210e-001	 8.0461e+000	 -2.7216e+000	3.0212e-002	 
6.4906e-001	 6.0898e-001	 8.0431e+000	 -2.7216e+000	2.9907e-002	 
6.5953e-001	 6.0586e-001	 8.0401e+000	 -2.7133e+000	3.1128e-002	 
